Date;URALS_price;BRENT_price;RUBLE_EXCHrate;IMOEX_CLOSE;MIACR_RatePerDay;CPI_HighFreq;VIX_volatility
14.02.2022;0,041404333;0,021601017;0,009846149;-0,018394979;0,0936;7,59902E-05;28,33
15.02.2022;-0,021006251;-0,033167496;0,000121448;0,034155996;0,094;-0,000581037;25,7
16.02.2022;0,003035378;0,01640223;0;0,012810079;0,095;0,003866153;24,29
17.02.2022;-0,041218825;-0,019407236;0;-0,037113215;0,0953;0,001717643;28,11
18.02.2022;0,009795385;0,00613101;0,013267883;-0,033542386;0,0956;0,001297469;27,75
19.02.2022;0;0;0,047576371;0;0,0956;-0,001224083;27,75
20.02.2022;0;0;0;0;0,0956;-3,17E-05;27,75
21.02.2022;0,029855572;0,019777635;0,080943156;-0,105039033;0,0952;0,001245828;27,75
22.02.2022;-0,011721612;0,015200755;-0,038885847;0,015759595;0,0973;-0,000468517;27,75
23.02.2022;0,005930319;0;0;0;0,0973;-0,000359414;28,81
24.02.2022;0;0,023130938;0;-0,332806006;0,0998;-0,000298796;31,02
25.02.2022;-0,033056111;-0,011606782;0,119815437;0,200357608;0,1002;0,000740746;30,32
26.02.2022;0;0;-0,019380305;0;0,1002;0,001387565;27,59
27.02.2022;0;0;0,125379173;0;0,1002;-0,000197898;27,59
28.02.2022;0,026456179;0,031246809;0,082400069;0;0,2038;-0,001121203;30,15
01.03.2022;0,042532881;0,039409843;-0,053187111;0;0,2038;0,00124829;33,32
02.03.2022;0,03672805;0,07583119;0;0;0,2068;-0,001063147;30,74
03.03.2022;-0,030716389;-0,021871956;0;0;0,204;0,000782151;30,48
04.03.2022;-0,043231751;0,069255839;0;0;0,2072;0,001665542;31,98
05.03.2022;0;0;0;0;0,2044;0,003139114;31,98
06.03.2022;0;0;0,097080304;0;0,2044;-0,003192483;31,98
07.03.2022;0,113544974;0,043180086;0,036988509;0;0,2044;-0,00168769;36,45
08.03.2022;0,054927302;0,03871439;-0,030128304;0;0,2044;-0,000233226;35,13
09.03.2022;-0,082244843;-0,13158306;0;0;0,2039;-0,000171667;32,45
10.03.2022;-0,079996074;-0,016285766;0;0;0,2072;-2,71264E-06;30,23
11.03.2022;-0,021337885;0,030549712;-0,01332229;0;0,2051;0,001902778;30,75
12.03.2022;0;0;-0,032240619;0;0,2051;-0,000644496;30,75
13.03.2022;0;0;-0,03076901;0;0,2051;-0,000866091;30,75
14.03.2022;-0,073040445;-0,051211503;-0,030086412;0;0,2033;-0,000350953;31,77
15.03.2022;-0,034458426;-0,065388213;-0,008099144;0;0,2028;0,003717244;29,83
16.03.2022;-0,016199756;-0,018917025;0;0;0,2005;-0,003306611;26,67
